Date,Region,Product Category,Sales,Profit,Customer Satisfaction
2024-01-28,West,Sports,2148,58,5
2024-01-29,West,Sports,1356,36,1
2024-01-29,West,Furniture,2856,641,5
2024-01-30,East,Clothing,773,401,1
2024-01-30,North,Furniture,3240,973,2
2024-02-01,North,Groceries,4630,-265,1
2024-02-01,North,Sports,3736,-276,5
2024-02-02,West,Furniture,2716,260,1
2024-02-02,South,Groceries,4285,1261,2
2024-02-02,South,Sports,2879,1105,2
2024-02-03,West,Furniture,2608,1233,1
2024-02-03,West,Furniture,2096,382,2
2024-02-04,West,Sports,1245,805,1
2024-02-04,East,Sports,813,124,4
2024-02-04,West,Groceries,4568,1041,5
2024-02-04,East,Electronics,1938,-272,3
2024-02-05,West,Groceries,3622,1215,3
2024-02-05,East,Clothing,1768,1310,1
2024-02-06,North,Furniture,3474,1494,5
2024-02-06,West,Furniture,4585,258,2
2024-02-07,North,Electronics,4591,-296,1
2024-02-08,West,Groceries,1488,601,1
2024-02-08,South,Electronics,2117,819,3
2024-02-09,West,Electronics,3727,1154,4
2024-02-10,North,Furniture,2845,1862,1
2024-02-10,North,Sports,3612,-375,2
2024-02-11,North,Electronics,4100,964,2
2024-02-11,East,Electronics,832,-220,3
2024-02-11,East,Furniture,4880,1637,5
2024-02-12,West,Electronics,2100,933,4
2024-02-13,South,Clothing,355,-258,3
2024-02-13,East,Groceries,3172,835,2
2024-02-13,South,Furniture,1674,1526,2
2024-02-13,East,Electronics,1352,1538,1
2024-02-13,East,Furniture,3023,549,5
2024-02-14,South,Clothing,816,153,5
2024-02-14,West,Sports,3586,1572,5
2024-02-16,East,Groceries,4286,1555,4
2024-02-16,North,Sports,109,746,4
2024-02-16,South,Furniture,3401,-440,1
2024-02-17,East,Groceries,1631,418,5
2024-02-17,West,Groceries,1024,1026,3
2024-02-18,East,Electronics,4829,-141,5
2024-02-19,East,Groceries,4368,-198,3
2024-02-20,West,Sports,3378,1443,1
2024-02-20,South,Groceries,1640,1780,1
2024-02-20,North,Clothing,2252,346,1
2024-02-20,North,Sports,1291,989,3
2024-02-21,North,Electronics,4959,-167,3
2024-02-21,South,Electronics,2582,660,4
2024-02-21,North,Sports,484,958,4
2024-02-21,South,Sports,3014,831,4
2024-02-22,North,Furniture,3033,562,5
2024-02-22,East,Sports,1255,579,5
2024-02-22,East,Sports,2882,1375,4
2024-02-23,East,Clothing,555,-473,3
2024-02-23,West,Sports,3809,25,2
2024-02-24,West,Groceries,3093,103,4
2024-02-26,South,Furniture,4683,1073,2
2024-02-27,West,Furniture,2256,1494,1
2024-02-27,West,Groceries,1458,-125,1
2024-02-28,West,Clothing,2222,1865,5
2024-02-28,North,Groceries,4909,-388,3
2024-02-28,West,Electronics,1256,1219,3
2024-02-29,South,Electronics,1350,1633,4
2024-02-29,East,Furniture,1780,1594,5
2024-02-29,East,Electronics,3586,-453,4
2024-02-29,East,Clothing,4430,1387,3
2024-02-29,South,Clothing,3322,1406,5
2024-03-01,North,Electronics,828,858,1
2024-03-02,South,Groceries,1681,1130,2
2024-03-02,West,Groceries,2914,1876,2
2024-03-02,West,Sports,1429,1408,3
2024-03-02,East,Electronics,4644,-181,3
2024-03-02,North,Furniture,2639,171,4
2024-03-02,North,Electronics,604,526,4
2024-03-02,East,Clothing,3424,1469,5
2024-03-02,West,Electronics,1642,528,4
2024-03-02,East,Sports,4062,-240,1
2024-03-02,South,Clothing,1177,1719,2
2024-03-02,East,Sports,2205,715,3
2024-03-02,South,Electronics,4633,189,2
2024-03-03,East,Sports,2931,993,1
2024-03-03,South,Groceries,994,1625,5
2024-03-03,South,Clothing,610,915,1
2024-03-04,South,Furniture,3736,-458,3
2024-03-04,South,Furniture,2781,181,5
2024-03-05,North,Sports,3684,1103,1
2024-03-05,North,Sports,2044,419,3
2024-03-06,East,Clothing,4246,1548,1
2024-03-10,East,Electronics,3137,1119,2
2024-03-11,West,Clothing,3737,-268,1
2024-03-11,West,Sports,2824,31,3
2024-03-11,West,Groceries,1910,-164,5
2024-03-12,North,Groceries,695,-335,3
2024-03-12,North,Sports,4935,960,3
2024-03-12,West,Sports,4958,-180,4
2024-03-12,South,Furniture,923,1274,1
2024-03-13,East,Electronics,4236,812,1
2024-03-13,West,Electronics,3819,1468,3
2024-03-14,North,Clothing,4385,530,3
2024-03-15,East,Sports,495,1628,5
2024-03-15,North,Clothing,4271,1680,5
2024-03-15,West,Groceries,2265,1539,3
2024-03-16,South,Clothing,1162,1642,1
2024-03-17,West,Sports,1733,-307,5
2024-03-17,North,Sports,335,1560,2
2024-03-18,East,Electronics,3702,1390,5
2024-03-18,South,Sports,1028,1031,1
2024-03-18,South,Groceries,2971,-495,3
2024-03-19,East,Electronics,4773,1104,3
2024-03-19,North,Clothing,4258,1129,3
2024-03-20,South,Sports,1952,1575,4
2024-03-20,West,Sports,4946,166,3
2024-03-21,West,Sports,4234,776,2
2024-03-21,West,Sports,3119,122,5
2024-03-22,West,Electronics,4275,213,4
2024-03-23,West,Sports,4592,41,4
2024-03-24,North,Furniture,349,1806,4
2024-03-24,West,Furniture,3241,-394,5
2024-03-25,West,Groceries,4880,-16,4
2024-03-26,West,Furniture,4278,1687,3
2024-03-26,North,Furniture,4904,563,1
2024-03-27,East,Furniture,233,1406,4
2024-03-27,North,Electronics,798,258,3
2024-03-28,East,Electronics,2883,-390,1
2024-03-28,East,Furniture,2803,669,5
2024-03-28,West,Furniture,2250,1469,5
2024-03-28,East,Furniture,3424,660,3
2024-03-28,South,Groceries,4460,296,5
2024-03-28,West,Clothing,243,1600,5
2024-03-29,North,Sports,1496,-434,3
2024-03-29,West,Furniture,599,1796,2
2024-03-29,North,Furniture,2911,754,1
2024-03-29,West,Furniture,3394,399,2
2024-03-29,East,Furniture,870,-491,4
2024-03-30,North,Furniture,1424,1786,1
2024-03-30,South,Clothing,4569,-497,5
2024-03-30,West,Electronics,4884,446,4
2024-03-30,North,Furniture,2058,25,3
